City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,cidreira,-30.1811,-50.2056,76.21,75,17,12.15,BR,1675809180
84,hami,42.8,93.45,32.61,55,100,2.82,CN,1675809180
85,raudeberg,61.9875,5.1352,43.47,76,42,30.4,NO,1675809181
86,lompoc,34.6391,-120.4579,69.78,57,20,11.5,US,1675809181
87,hambantota,6.1241,81.1185,75.25,86,90,11.43,LK,1675809182
88,tezu,27.9167,96.1667,56.59,74,98,3.02,IN,1675809185
89,nabire,-3.3667,135.4833,75.31,90,100,3.13,ID,1675809186
90,beyneu,45.3167,55.2,29.91,80,100,23.8,KZ,1675809188
91,nouadhibou,20.931,-17.0347,64.38,59,0,19.57,MR,1675809190
92,saint-pierre,-21.3393,55.4781,78.48,78,20,5.75,RE,1675809191
93,adrar,20.5022,-10.0711,61.83,21,93,10.94,MR,1675809191
94,punta de bombon,-17.1717,-71.7931,74.7,82,44,7.27,PE,1675809193
95,dikson,73.5069,80.5464,-11.79,92,100,20.29,RU,1675809054
96,rawson,-43.3002,-65.1023,67.77,52,27,15.57,AR,1675809194
97,saint-philippe,-21.3585,55.7679,78.39,83,82,14.12,RE,1675809196
98,sisimiut,66.9395,-53.6735,-13.25,98,91,2.68,GL,1675809198
99,khatanga,71.9667,102.5,-47.2,100,76,2.08,RU,1675809199
100,aconibe,1.2968,10.9369,67.66,98,27,3.15,GQ,1675809200
101,grindavik,63.8424,-22.4338,25.27,86,75,28.77,IS,1675808964
102,ligayan,4.6533,119.4706,80.42,74,100,6.42,PH,1675809203
103,lavrentiya,65.5833,-171.0,-12.06,86,100,3.02,RU,1675809205
104,soyo,-6.1349,12.3689,79.63,82,67,7.58,AO,1675809206
105,port alfred,-33.5906,26.891,69.19,92,100,1.99,ZA,1675809211
106,rosarito,32.3333,-117.0333,73.42,40,0,8.84,MX,1675809213
107,nishihara,26.1842,127.7558,65.48,91,75,10.36,JP,1675809214
108,sungairaya,0.7,108.9,75.78,91,100,3.85,ID,1675809214
109,leningradskiy,69.3833,178.4167,-25.2,96,100,5.55,RU,1675809215
110,georgetown,5.4112,100.3354,78.73,92,20,4.61,MY,1675809215
111,balaghat,21.8,80.1833,62.82,40,0,7.11,IN,1675809215
112,gat,31.61,34.7642,50.68,100,83,21.97,IL,1675808945
113,noyabrsk,63.1994,75.4507,-18.26,100,98,7.31,RU,1675809216
114,atuona,-9.8,-139.0333,78.37,78,11,15.3,PF,1675808983
115,souillac,-20.5167,57.5167,79.18,78,75,10.36,MU,1675809216
116,bathsheba,13.2167,-59.5167,79.41,73,40,16.11,BB,1675809217
117,ancud,-41.8697,-73.8203,62.55,83,6,7.2,CL,1675809217
118,mar del plata,-38.0023,-57.5575,73.42,88,40,15.01,AR,1675809204
119,kruisfontein,-34.0033,24.7314,66.58,79,100,4.25,ZA,1675809218
120,mahebourg,-20.4081,57.7,79.09,78,75,10.36,MU,1675809122
121,hithadhoo,-0.6,73.0833,81.01,70,68,8.55,MV,1675809218
122,kutulik,53.3508,102.7839,-7.33,100,100,3.69,RU,1675809218
123,sobolevo,54.4299,31.8996,4.78,99,64,3.4,RU,1675809219
124,makakilo city,21.3469,-158.0858,80.44,67,100,12.66,US,1675809219
125,santa fe,-31.6333,-60.7,97.95,35,0,4.0,AR,1675809019
126,kachiry,53.0675,76.1036,-7.02,100,94,4.83,KZ,1675809219
127,aranda de duero,41.6704,-3.6892,36.77,76,76,20.78,ES,1675809220
128,komsomolskiy,40.4272,71.7189,34.52,80,10,6.91,UZ,1675809220
129,udachnyy,66.4167,112.4,-35.55,73,99,2.77,RU,1675809220
130,segezha,63.7415,34.3222,31.87,88,100,11.41,RU,1675809221
131,arkhangelsk,64.5401,40.5433,33.91,93,100,11.18,RU,1675809221
132,tiksi,71.6872,128.8694,-27.26,100,100,4.29,RU,1675809221
133,muros,42.7762,-9.0603,44.1,68,5,19.51,ES,1675809222
134,los llanos de aridane,28.6585,-17.9182,58.75,85,100,11.5,ES,1675809222
135,vostok,46.4856,135.8833,0.1,98,100,3.31,RU,1675809222
